AR,ASAH1,CCND1,CCNE1,CDH3,CDK6,CDKN2A,CEACAM7,CHAD,CHEK2,CLEC3A,CRYAB,DEFB132,DNAH7,DNMT3A,EGFR,ERBB2,ESR1,EZH2,FOXA1,FOXC1,GATA3,GZMB,ID4,IDO1,IL2RA,INPP4B,KRT18,KRT5,KRT6A,KRT6B,KRT8,MDGA2,MDM2,MET,MKI67,MSLN,MUC1,MYB,NOTCH1,OGN,OLAH,PGR,PIP,PTK6,RYR1,SNAI1,TBC1D1,TBC1D22B,TBC1D7,TFF1,TGFB3,TRIM29,UBE2C,USP6NL,VAV3,VRK1,XBP1,YES1,YOD1,tnbc,case_id
8.977146484808472,10.108792945720458,11.234678739304933,5.537334267018537,5.3230099791384085,5.8944028342648505,6.013715156042802,3.688879454113936,5.84354441703136,5.883322388488279,2.6390573296152584,5.2832037287379885,3.80666248977032,5.241747015059643,7.299797366758161,5.459585514144159,9.3672586470476,8.605204068738951,6.721425700790643,9.043340831280013,3.367295829986474,10.029899914890564,1.3862943611198906,4.406719247264253,2.6390573296152584,2.5649493574615367,7.252762418053187,9.291551627401006,1.791759469228055,1.0986122886681098,0.0,9.728836502046391,0.0,10.070822367021758,3.912023005428146,8.273591798199632,3.4657359027997265,9.69572510326022,7.796469243086058,7.053585727193677,3.610917912644224,0.6931471805599453,8.15162164696975,9.459697330106296,7.92588031673756,4.30406509320417,4.394449154672439,6.274762021241939,6.4692503167957724,6.115892125483034,4.727387818712341,7.094234845924755,5.278114659230517,6.833031732786201,6.1675164908883415,8.821879862683842,5.652489180268651,10.980842155824298,7.561121589530238,5.645446897643238,False,6E7D5EC6-A469-467C-B748-237353C23416
4.844187086458591,8.669399124305569,8.24564690087386,5.424950017481403,6.680854678790215,7.080026499922591,5.159055299214529,5.147494476813453,7.716015266642587,5.908082938168931,8.210124405164267,5.5254529391317835,0.0,3.5263605246161616,7.162397497355718,5.43372200355424,12.194617282684325,4.430816798843313,7.051855622955894,8.68270762989381,4.127134385045092,8.93353229607628,4.787491742782046,5.337538079701318,6.90975328164481,4.624972813284271,6.546785410760524,10.39056336913101,5.910796644040527,1.0986122886681098,3.6375861597263857,10.786635065817029,3.9318256327243257,6.811244378601294,6.142037405587356,7.6638772587034705,1.791759469228055,7.933438387627489,6.16541785423142,6.70196036600254,5.030437921392435,0.6931471805599453,3.367295829986474,5.846438775057725,7.736743682453495,6.282266746896006,5.056245805348308,6.889591308354466,6.063785208687608,6.29156913955832,5.159055299214529,7.855157005881344,4.330733340286331,7.248504072370611,6.405228458030842,6.961296045910167,5.313205979041787,10.353256586200818,7.124478262493424,5.303304908059076,False,55262FCB-1B01-4480-B322-36570430C917
6.9726062513017535,6.926577033222725,8.667680024690174,4.672828834461906,5.2574953720277815,4.927253685157205,4.859812404361672,2.4849066497880004,1.0986122886681098,4.990432586778736,0.0,5.916202062607435,2.1972245773362196,2.302585092994046,7.027314514039777,4.672828834461906,8.848652886213905,8.38662882139512,5.720311776607412,7.903965634032166,4.663439094112067,8.760139370026627,3.9318256327243257,3.4011973816621555,4.5217885770490405,3.713572066704308,6.327936783729195,9.17367638760459,1.0986122886681098,0.0,0.0,9.677966176435952,0.0,7.004881989712859,4.356708826689592,6.280395838960195,1.9459101490553132,6.529418838262226,6.068425588244111,6.186208623900494,4.290459441148391,0.6931471805599453,5.638354669333745,0.0,4.7535901911063645,3.8501476017100584,5.537334267018537,6.253828811575473,5.043425116919247,6.192362489474872,4.770684624465665,6.20455776256869,0.0,6.598509028614515,4.912654885736052,7.96693349840484,5.5134287461649825,9.28498391497195,6.2878585601617845,5.187385805840755,False,427D0648-3F77-4FFC-B52C-89855426D647
8.57130251706327,8.706986763048892,10.200773361130604,4.30406509320417,7.187657164114956,5.934894195619588,6.222576268071369,2.772588722239781,6.961296045910167,5.902633333401366,4.5217885770490405,6.566672429803241,1.791759469228055,4.709530201312334,7.097548850614793,7.005789019253503,10.770209817441788,8.084254106307318,6.269096283706261,9.158204617555654,5.8664680569332965,9.365718869155696,3.713572066704308,6.18826412308259,3.9889840465642745,4.23410650459726,8.303504798872783,10.55794587848096,8.397508348470257,4.07753744390572,6.551080335043404,11.046451598774738,0.0,7.63433723562832,6.617402977974478,7.243512974665482,1.6094379124341005,10.52529983549145,8.237743803890933,7.186144304522325,7.259819610363186,0.0,7.967626739333816,8.251924713801357,6.626717749249025,4.143134726391533,4.919980925828125,7.1204443723924875,6.049733455231958,6.246106765481563,9.681281062043258,8.193676665955241,7.00850518208228,6.542471960506805,6.322565239927284,8.284504227258497,5.82600010738045,11.341377662299667,7.240649694255466,6.09807428216624,False,C31900A4-5DCD-4022-97AC-638E86E889E4
8.55756708555451,8.24143968982973,9.396155818024392,4.219507705176107,6.598509028614515,5.8805329864007,6.133398042996649,1.6094379124341005,6.246106765481563,5.976350909297934,5.4638318050256105,6.587550014824796,1.0986122886681098,4.672828834461906,6.919683849847411,6.354370040797351,9.659630959624376,8.844336332748933,6.066108090103747,9.053101595549691,5.2832037287379885,9.786054455644033,2.8903717578961645,5.918893854273146,3.80666248977032,4.1588830833596715,8.165079258805068,10.018332944205168,8.142645185942795,3.6375861597263857,6.54534966033442,10.645591550044823,0.0,7.273786317844895,5.545177444479562,7.291656209174461,0.6931471805599453,8.97941663334301,7.848543482456679,7.283448228756631,7.48605261786314,0.0,8.5956346177228,5.5134287461649825,5.7899601708972535,4.532599493153256,4.23410650459726,7.126890808898808,6.118097198041348,6.073044534100405,8.77137018531062,8.564458383883352,6.8679744089702925,6.028278520230698,6.428105272684596,7.753623546559746,5.8805329864007,11.059157324024897,7.297091005160418,5.746203190540153,False,6623FC5E-00BE-4476-967A-CBD55F676EA6
8.302761580704049,8.498825534058053,8.91905180393029,3.9318256327243257,6.542471960506805,5.493061443340548,5.198497031265826,0.0,5.697093486505405,5.786897381366708,1.9459101490553132,6.499787040655854,1.0986122886681098,4.248495242049359,6.92951677076365,6.129050210060545,9.09862638234618,8.669055540725484,5.552959584921617,8.641709066113805,5.043425116919247,9.623707509980202,3.044522437723423,5.869296913133774,4.875197323201151,3.218875824868201,7.2875606403097235,9.798182590890704,7.845807502637805,1.0986122886681098,5.438079308923196,10.33169214761378,0.0,7.049254841255837,5.545177444479562,6.1070228877422545,3.610917912644224,9.110961927995904,7.908754738783246,6.652863029353347,6.102558594613569,0.0,6.498282149476434,5.521460917862246,5.3612921657094255,4.762173934797756,4.941642422609304,7.009408932708637,5.707110264748875,5.707110264748875,6.261491684321042,8.16223106548118,6.573680166960646,5.093750200806762,5.627621113690637,8.784774592161016,5.288267030694535,10.947045095455094,6.602587892189336,5.963579343618446,False,86C6F993-327F-4525-9983-29C55625593A
8.094988759303774,8.159660737063376,7.201916317531627,3.1354942159291497,6.579251212010101,5.4510384535657,4.9344739331306915,1.9459101490553132,4.007333185232471,4.990432586778736,1.9459101490553132,5.823045895483019,1.791759469228055,4.48863636973214,6.434546518787453,5.293304824724492,9.076237387452702,7.908754738783246,5.159055299214529,8.414052432496725,4.718498871295094,8.379539026117442,4.406719247264253,5.204006687076795,5.541263545158426,4.30406509320417,6.38856140554563,9.545955098183269,7.21081845347222,1.3862943611198906,4.007333185232471,10.18780145908014,0.0,6.992096427415888,4.859812404361672,4.820281565605037,1.0986122886681098,8.846353043314327,6.648984550024776,6.278521424165844,5.552959584921617,0.6931471805599453,3.295836866004329,7.8655717576847906,5.241747015059643,3.912023005428146,4.127134385045092,6.4425401664681985,5.6937321388027,5.407171771460119,6.587550014824796,7.763021309018518,5.961005339623274,3.8918202981106265,5.43372200355424,7.842671474979457,4.890349128221754,10.291806501809322,6.364750756851911,4.718498871295094,False,16FC3677-0393-4ED1-AD3F-C8355F056369
7.505492274737424,8.24143968982973,10.293398993717526,4.948759890378168,6.173786103901937,3.8501476017100584,4.060443010546419,2.70805020110221,7.965198290612176,6.664409020350408,4.6913478822291435,3.610917912644224,0.6931471805599453,3.828641396489095,6.8308742346461795,4.1588830833596715,9.451480999992048,8.19533366716287,5.783825182329737,9.025936648977904,4.382026634673881,9.563669725663818,3.970291913552122,2.833213344056216,1.9459101490553132,0.6931471805599453,7.200424892944957,10.313475749371875,2.4849066497880004,0.0,0.0,10.519537682711109,0.0,7.579167967396076,4.77912349311153,6.844815479208263,1.3862943611198906,10.223431082444048,7.198931240688173,6.52649485957079,0.0,0.0,4.795790545596741,5.91350300563827,6.71295620067707,3.4657359027997265,3.4011973816621555,4.844187086458591,6.29156913955832,5.921578419643816,10.13559084522181,8.300776960851454,3.295836866004329,6.9930151229329605,5.332718793265369,7.716015266642587,5.768320995793772,10.768295498386117,5.262690188904886,5.288267030694535,False,2FD36838-5A83-433E-AC80-B1F77448E5AA
5.278114659230517,7.918992488165245,9.617537312929104,4.382026634673881,8.028781162487148,9.001346243766392,4.634728988229636,0.6931471805599453,4.927253685157205,5.707110264748875,0.6931471805599453,8.754476306284166,1.0986122886681098,4.02535169073515,7.645875825184813,9.225031920719172,9.0441677169216,6.947937068614969,6.2422232654551655,6.525029657843462,7.9247959139564355,6.666956792429207,1.3862943611198906,7.875499292445208,3.80666248977032,2.4849066497880004,6.431331081933479,9.151014905891367,10.772833416633738,4.718498871295094,5.43372200355424,9.655218482441182,1.0986122886681098,7.884199933676039,8.17695386822578,7.463363045520021,5.3612921657094255,6.156978985585555,6.806829360392176,8.427487278331744,5.375278407684165,1.9459101490553132,2.1972245773362196,4.060443010546419,3.713572066704308,6.541029999189903,2.1972245773362196,8.271804031154709,6.464588303689961,6.126869184114185,2.3978952727983707,6.220590170099739,9.333972932421458,5.043425116919247,7.134093721192866,7.228388451573604,5.598421958998375,8.55468163582723,8.07215530818825,6.282266746896006,False,0045349c-69d9-4306-a403-c9c1fa836644
9.00859131751613,9.451323841418724,10.373428679828658,4.30406509320417,8.210396255104774,6.664409020350408,5.673323267171493,3.4011973816621555,5.84354441703136,5.556828061699537,4.812184355372417,7.581719640125308,3.1354942159291497,4.6443908991413725,7.22983877815125,7.374629015218945,9.976552123393134,9.673822784231652,5.799092654460526,9.492733482494351,6.073044534100405,10.066243953835242,3.4011973816621555,6.566672429803241,5.634789603169249,4.5217885770490405,8.21932609390609,10.61893424059084,9.258940041812243,4.672828834461906,7.174724309836376,11.18194611478861,0.6931471805599453,8.021256180143997,7.165493475060845,7.748460023899697,2.6390573296152584,10.27273809117664,7.145196134997171,7.573017256052546,6.419994928147142,0.0,7.050989447068045,8.684570300824369,6.906754778648554,5.220355825078324,5.293304824724492,7.896924656268864,6.778784897685177,6.093569770045136,9.090655529030204,8.206583614320753,7.926963544862979,6.416732282512326,6.695798917058491,8.400884069015854,6.126869184114185,11.168052036959455,7.525639975041536,6.102558594613569,False,c462e422-eb8d-4daf-9897-2a9c6cbd783a
